id,category,prompt,option_a,option_b,option_c,option_d,option_e,correct_index,explanation,difficulty
q-04-04-1,m04-skizzen-erstellen,Was gehoert zu einer fachlichen Skizze im Betrieb?,Ausschliesslich Farbverlauf.,Keine Beschriftung.,Nur persoenliche Notizen ohne Bezug.,"Massangaben, Werkstoff und wesentliche Formmerkmale.",Nur dekorative Zeichnung ohne Masse.,3,Skizzen dienen der schnellen technischen Kommunikation mit relevanten Angaben.,2
q-04-04-2,m04-skizzen-erstellen,Warum skizzierst du ein Bauteil vor der Bearbeitung?,Nur fuer kuenstlerische Uebung.,Um Pruefmittel zu ersetzen.,"Um Mass, Verlauf und Bearbeitungsfolge zu klaeren.",Um Sicherheitsregeln zu ersetzen.,Weil Zeichnungen verboten sind.,2,Skizzen unterstuetzen Planung und Abstimmung im Team.,2
q-04-05-1,m04-arbeitsplaene-lesen,Was enthaelt ein Arbeitsplan?,Keine Bezuege zu Zeichnungen.,Nur Werbetexte.,"Geordnete Arbeitsschritte mit Werkzeugen, Masse und Pruefpunkten.",Nur die Mittagspause.,Ausschliesslich Lohnlisten.,2,Arbeitsplaene strukturieren Fertigung und Qualitaetskontrolle.,2
q-04-05-2,m04-arbeitsplaene-lesen,In welcher Reihenfolge liest du Arbeitsplan und Zeichnung?,Zeichnung ignorieren wenn komplex.,"Auftrag verstehen, Zeichnung pruefen, Arbeitsplan Schritt fuer Schritt abarbeiten.","Maschine starten, dann Unterlagen suchen.",Nur Arbeitsplan ohne Zeichnung.,Unterlagen nach Fertigstellung lesen.,1,Technische Unterlagen muessen vor Arbeitsbeginn vollstaendig verstanden sein.,2
q-04-06-1,m04-produktionsdaten,Was sind Produktionsdaten in der Fertigung?,Nur Farbcodes ohne Bedeutung.,"Informationen zu Auftrag, Material, Maschine, Parametern und Stueckzahlen.",Nur Wetterdaten.,Private Kontaktdaten.,Ausschliesslich Kantinenpreise.,1,Produktionsdaten steuern und dokumentieren den Fertigungsprozess.,2
q-04-06-2,m04-produktionsdaten,Warum muessen Produktionsdaten aktuell sein?,"Damit Fertigung, Qualitaet und Rueckverfolgbarkeit sichergestellt sind.",Nur fuer die Dekoration.,Weil alte Daten die Maschine schneller machen.,Weil Dokumentation optional ist.,Weil Kunden keine Daten brauchen.,0,Aktuelle Daten verhindern Fehlproduktion und ermoeglichen Nachweis.,2
q-04-07-1,m04-uebergabedokumente,Was gehoert in ein Uebergabeprotokoll zwischen Schichten?,"Stand der Anlage, offene Stoerungen und durchgefuehrte Arbeiten.",Private Termine.,Nur Wetterbericht.,Keine Angaben zu Stoerungen.,Ausschliesslich Witze.,0,Uebergaben sichern kontinuierlichen Betrieb und Informationsfluss.,2
q-04-07-2,m04-uebergabedokumente,Warum ist die Schichtuebergabe fuer MAF wichtig?,Weil sonst die Pause verlaengert wird.,Weil Zeichnungen dann ueberfluessig sind.,Weil Maschinen ohne Info schneller sind.,Weil Qualitaet keine Rolle spielt.,Nachfolgende Schicht kann sicher weiterarbeiten und Stoerungen vermeiden.,4,Vollstaendige Uebergabe verhindert Fehler und Sicherheitsrisiken.,2
q-04-08-1,m04-technische-kommunikation-im-betrieb,Wie kommunizierst du technische Abweichungen im Team?,Abweichung verschweigen.,Nur muendlich ohne Nachweis.,Maschine heimlich weiterlaufen lassen.,Verantwortung dauerhaft verweigern.,"Sachlich melden, dokumentieren und zustaendige Person informieren.",4,Klare Kommunikation ist Voraussetzung fuer Qualitaet und Sicherheit.,2
q-04-08-2,m04-technische-kommunikation-im-betrieb,Welches Medium eignet sich fuer technische Massnahmen im Betrieb?,Nur private Chatgruppe ohne Dokumentation.,Keine schriftliche Festhaltung.,Ausschliesslich muendliche Geruechte.,"Arbeitsanweisung, Protokoll oder digitales Ticketsystem gemaess Betrieb.",Anonyme Graffiti-Wand.,3,Nachvollziehbare Dokumentation sichert Massnahmen und Verantwortlichkeiten.,2
q-04-09-1,m04-dokumentation,Was gehoert zur produktionsbezogenen Dokumentation?,Ausschliesslich Urlaubsantraege.,Keine Pruefwerte.,Nur Fotos ohne Kontext.,"Pruefprotokolle, Rueckverfolgbarkeit und Aenderungshinweise.",Nur persoenliche Notizen ohne Auftragsbezug.,3,"Dokumentation stuetzt Qualitaet, Reklamation und Prozessverbesserung.",2
q-04-09-2,m04-dokumentation,Warum dokumentierst du Messwerte zum Werkstueck?,Nur fuer Social Media.,Weil Zeichnungen dann entfallen.,Zum Nachweis der Qualitaet und fuer spaetere Rueckverfolgung.,Weil Messen optional ist.,Weil Werte niemand braucht.,2,Messprotokolle belegen Einhaltung von Toleranzen und Vorgaben.,2
q-04-10-1,m04-pruefungsaufgaben-tk,Welche Aufgabe ist typisch in Pruefungsaufgaben zur technischen Kommunikation?,Nur muendlich antworten ohne Unterlagen.,"Information aus Zeichnung, Tabelle oder Arbeitsplan entnehmen.",Nur Rechtschreibung pruefen.,Zeichnungen ignorieren.,Symbole ohne Bedeutung lernen.,1,Pruefungen verlangen sicheres Lesen technischer Dokumente.,2
q-04-10-2,m04-pruefungsaufgaben-tk,Wie gehst du bei einer Zeichnungsaufgabe in der Pruefung vor?,"Massketten, Toleranzen und Symbole systematisch auswerten.",Erste Zahl die ins Auge faellt waehlen.,Toleranzen als Dekoration ignorieren.,Nur Isometrie betrachten.,Skala ohne Pruefung annehmen.,0,Systematisches Lesen verhindert Fehlinterpretationen bei Pruefungsaufgaben.,2
q-05-01-1,m05-arbeitsplanung,Was ist Ziel der Arbeitsplanung?,"Arbeitsschritte, Mittel und Zeiten sinnvoll ordnen.",Ohne Plan sofort produzieren.,Nur Pause planen.,Material erst nach Fertigstellung beschaffen.,Sicherheit ausklammern.,0,Planung reduziert Fehler und sichert termingerechte Fertigung.,2
q-05-01-2,m05-arbeitsplanung,Welches Dokument ist Grundlage der Arbeitsplanung?,Nur Wetterbericht.,Private Einkaufsliste.,Keine Unterlagen noetig.,Nur Social-Media-Feed.,"Zeichnung, Arbeitsplan und Auftragsdaten.",4,Technische und organisatorische Vorgaben steuern die Planung.,2
q-05-02-1,m05-reihenfolge-der-arbeitsschritte,Warum ist die Reihenfolge der Arbeitsschritte wichtig?,Weil Reihenfolge beliebig ist.,Weil Qualitaet irrelevant ist.,Weil Werkzeug keine Rolle spielt.,Weil Messen immer zuerst kommt.,Weil Vor- und Nachbearbeitung aufeinander aufbauen.,4,Falsche Reihenfolge fuehrt zu Nacharbeit oder Ausschuss.,2
q-05-02-2,m05-reihenfolge-der-arbeitsschritte,Was kommt bei spanender Bearbeitung oft vor dem Finish?,Endpruefung vor dem Aufspannen.,Entgraten vor dem Bohren ohne Plan.,Verpackung vor der Fertigung.,"Rohbearbeitung, Zwischenpruefung, dann Feinbearbeitung.",Lackieren vor dem Zuschnitt.,3,Logische Abfolge sichert Masse und Oberflaechenqualitaet.,2
q-05-03-1,m05-werkzeugvorbereitung,Was gehoert zur Werkzeugvorbereitung?,Nur groesstes Werkzeug nehmen.,Werkzeug ohne Auftrag waehlen.,Schneiden ohne Spannung.,"Passende Werkzeuge waehlen, pruefen und bereitstellen.",Defekte Werkzeuge ungeprueft nutzen.,3,"Vorbereitete, gepruefte Werkzeuge sichern Prozess und Sicherheit.",2
q-05-03-2,m05-werkzeugvorbereitung,Wann tauschst du ein Verschleisswerkzeug?,Nur wenn der Azubi es moechte.,Erst nach Monaten ohne Pruefung.,Bei sichtbarem Verschleiss oder Abweichung der Oberflaeche/Masse.,Erst wenn es bricht.,Nie waehrend der Schicht.,2,Rechtzeitiger Werkzeugwechsel verhindert Ausschuss.,2
q-05-04-1,m05-materialbereitstellung,Was gehoert zur Materialbereitstellung?,Erst nach Maschinenstart holen.,Nur Reststuecke ohne Pruefung.,Richtiges Material in richtiger Menge am Arbeitsplatz.,Beliebiges Material ohne Zeichnung.,Material ohne Kennzeichnung mischen.,2,Korrektes Material verhindert Fehlteile und Verzoegerungen.,2
q-05-04-2,m05-materialbereitstellung,Warum pruefst du Material vor der Bearbeitung?,Zeichnung ersetzt Materialpruefung nicht negativ.,"Werkstoff, Abmessung und Oberflaeche muessen zur Vorgabe passen.",Material spielt keine Rolle.,Nur Farbe zaehlt.,Pruefung erst nach Verschnitt.,1,Materialfehler frueh erkennen spart Zeit und Kosten.,2
q-05-05-1,m05-zeitplanung,Was ist bei der Zeitplanung zu beruecksichtigen?,Stoerungen existieren nicht.,"Ruestzeit, Bearbeitungszeit, Pruefzeit und Puffer.",Nur Pausenzeit.,Keine Ruestzeit.,Pruefung braucht keine Zeit.,1,Realistische Zeitplanung vermeidet Terminverzug.,2
q-05-05-2,m05-zeitplanung,Wie reagierst du bei drohender Terminverletzung?,Vorgesetzten informieren und Alternativen abstimmen.,Schweigen und hoffen.,Qualitaet ohne Absprache opfern.,Sicherheit reduzieren.,Dokumentation stoppen.,0,Fruehe Kommunikation ermoeglicht Gegensteuerung.,2
q-05-06-1,m05-sicherheitscheck-vor-arbeitsbeginn,Was pruefst du vor Arbeitsbeginn an der Maschine?,"Schutzeinrichtungen, Werkzeug, Spannung und Betriebsbereitschaft.",Nur die Farbe des Gehaeuses.,Nichts bei bekannter Maschine.,Schutzeinrichtungen ueberbruecken.,Erst nach Unfall pruefen.,0,Sicherheitscheck ist Pflicht vor jedem Einsatz.,2
q-05-06-2,m05-sicherheitscheck-vor-arbeitsbeginn,Welche Frage gehoert zum Sicherheitscheck?,Ist die Maschine laut genug?,Sind Handschuhe verboten?,Ist Kuehlmittel egal?,Darf ich ohne Einweisung starten?,Sind Not-Halt und Schutztuer funktionsfaehig?,4,Funktion von Schutzeinrichtungen muss vor Start gesichert sein.,2
q-05-07-1,m05-materialfluss-planen,Was bedeutet Materialfluss planen?,Material zufaellig lagern.,Transportwege blockieren.,FIFO ignorieren.,Lager ohne Kennzeichnung.,Bewegung von Rohmaterial zu Fertigteil ohne Engpaesse.,4,Geplanter Materialfluss unterstuetzt termingerechte Produktion.,2
q-05-07-2,m05-materialfluss-planen,Warum sollte Material am Arbeitsplatz nicht uebermaessig liegen?,Weil Lagerung egal ist.,Weil Sicherheit sinkt wenn aufgeraeumt ist.,Weil FIFO verboten ist.,"Stolpergefahr, Verwechslung und Platzmangel werden vermieden.",Weil es die Maschine schneller macht.,3,Ordnung am Arbeitsplatz ist Teil sicherer Arbeitsplanung.,2
q-05-08-1,m05-auftragsunterlagen,Was enthaelt ein Auftragsschein typischerweise?,Keine Stueckzahl.,Ausschliesslich Werbesprueche.,Nur Kantinenmenue.,"Auftragsnummer, Stueckzahl, Termin und Materialangaben.",Nur Hobbys des Bearbeiters.,3,Auftragsunterlagen steuern Fertigung und Dokumentation.,2
q-05-08-2,m05-auftragsunterlagen,Warum vergleichst du Auftrag und Zeichnung?,Weil Stueckzahl egal ist.,Weil Termin keine Rolle spielt.,"Um Material, Masse und Menge abzugleichen.",Weil Zeichnungen optional sind.,Weil Auftrag immer falsch ist.,2,Abgleich verhindert Fehlproduktion.,2
q-05-09-1,m05-schnittstellen-im-team,Was ist eine Schnittstelle im Team?,Ein Werkzeugtyp.,Die Mittagspause allein.,Uebergabepunkt zwischen Abteilungen oder Schichten.,Nur die Werkstatttuer.,Ein Softwarevirus.,2,Schnittstellen muessen klar kommuniziert und dokumentiert werden.,2
q-05-09-2,m05-schnittstellen-im-team,Wie sicherst du gute Zusammenarbeit mit der Qualitaetssicherung?,Abweichungen selbst freigeben.,Pruefergebnisse und Abweichungen zeitnah uebergeben.,QS erst bei Reklamation informieren.,Messwerte verbergen.,Protokolle nicht ausfuellen.,1,Fruehe Rueckmeldung verhindert Serienfehler.,2
q-05-10-1,m05-pruefungsaufgaben-planung,Welche Planungsfrage ist pruefungstypisch?,Arbeitsschritte in sinnvoller Reihenfolge anordnen.,Nur Rechtschreibung pruefen.,Sicherheit aus Planung entfernen.,Material ohne Bezug waehlen.,Zeit immer ignorieren.,0,Pruefungen testen logische und sichere Arbeitsfolge.,2
q-05-10-2,m05-pruefungsaufgaben-planung,Was ist bei PAL-Aufgaben zur Arbeitsplanung wichtig?,Immer schnellste unsichere Variante.,Mehrere Antworten markieren.,Zeichnung nicht beachten.,Planung als optional betrachten.,Vorgaben lesen und sicherste sowie effizienteste Loesung waehlen.,4,"Pruefungsaufgaben belohnen strukturiertes, sicheres Vorgehen.",2
q-06-01-1,m06-pruefmittel-auswaehlen,Wie waehlst du ein geeignetes Pruefmittel fuer eine Lochdurchmesser-Pruefung?,Lineal ohne Skala.,Schuhgroesse.,Thermometer.,Drehmomentschluessel allein.,"Messschieber, Bore gauge oder Grenzlehrdorn gemaess Toleranz.",4,Pruefmittel muss zur Toleranz und Messgroesse passen.,2
q-06-01-2,m06-pruefmittel-auswaehlen,Wann ist eine Grenzlehre sinnvoller als ein Messschieber?,Beim Messen von Temperatur.,Beim Gewicht von Gas.,Bei Oberflaechenfarbe.,Bei Pass-/Nicht-Pass-Pruefung ohne konkreten Messwert.,"Wenn exakte Masse in 0,01 mm noetig sind.",3,Grenzlehren pruefen schnell Einhaltung von Grenzmassen.,2
q-06-02-1,m06-messschieber,Welche Groesse liest du am Messschieber auf der nonius Skala?,Druck in bar.,Temperatur in Kelvin.,Gewindesteigung in Zoll allein.,Bruchteile des Hauptskalenwerts in mm.,Drehzahl in U/min.,3,Nonius ermoeglicht Ablesen von Zehntel- und Hundertstel-Millimetern.,2
q-06-02-2,m06-messschieber,Was ist vor dem Messen mit dem Messschieber zu pruefen?,Ob er magnetisch ist.,Ob er gross genug aussieht.,"Saubere Messschenkel, Nullstellung und gueltige Kalibrierung.",Nur die Farbe.,Ob er schwimmt.,2,Funktionsfaehiges Pruefmittel ist Voraussetzung fuer brauchbare Werte.,2
q-06-03-1,m06-messwerte-ablesen,"Wie liest du 12,35 mm am Messschieber korrekt ab?","1,235 mm.","12 mm minus 0,35 mm.","Hauptskala 12 mm plus Nonius 0,35 mm.",Nur 12 mm ohne Nonius.,"123,5 mm.",2,Gesamtmass ergibt sich aus Haupt- und Noniusskala.,2
q-06-03-2,m06-messwerte-ablesen,Welcher Fehler entsteht bei schraegem Anlegen des Messschiebers?,Automatisch korrekte Anzeige.,Zu grosser Messwert durch Projektionsfehler.,Immer zu kleiner Wert.,Kein Einfluss auf Messung.,Nur Temperaturfehler.,1,Messschieber muss senkrecht zur Messlinie angelegt werden.,2
q-06-04-1,m06-toleranzen-pruefen,"Was bedeutet Nennmass 20 mm mit Toleranz +0,2/-0,1?","Nur 20,1 mm erlaubt.","Zulaessiger Bereich von 19,9 mm bis 20,2 mm.","Exakt 20,0 mm ohne Abweichung.","20,2 mm bis 21 mm.",19 mm bis 20 mm.,1,Ober- und Untergrenze ergeben den zulaessigen Toleranzbereich.,2
q-06-04-2,m06-toleranzen-pruefen,"Ein Werkstueck misst 20,25 mm bei +0,2/-0, Ist es i.O.?","Nein, der Wert liegt ueber der oberen Grenze.","Ja, weil nah am Nennmass.","Ja, Toleranz gilt nicht.",Unmessbar.,Nur bei Kunststoff relevant.,0,Messwerte muessen innerhalb der Toleranzgrenzen liegen.,2
q-06-05-1,m06-pruefprotokoll,Was gehoert in ein Pruefprotokoll?,"Messmittel, Messwert, Datum und Ergebnis i.O./n.i.O.",Nur Unterschrift ohne Werte.,Private Telefonnummer.,Keine Angabe zum Pruefmittel.,Nur Wetter.,0,Protokolle machen Pruefungen nachvollziehbar.,2
q-06-05-2,m06-pruefprotokoll,Warum dokumentierst du n.i.O.-Teile?,Weil n.i.O. geheim bleibt.,Weil Dokumentation optional ist.,Weil QS nicht informiert wird.,Weil Teile automatisch i.O. werden.,"Fuer Nacharbeit, Ausschuss oder Rueckverfolgung.",4,Dokumentation ist Grundlage fuer Qualitaetsentscheidungen.,2
q-06-06-1,m06-messfehler-vermeiden,Welcher Fehler entsteht durch zu starkes Anziehen des Messschiebers?,Wert wird immer groesser.,Kein Einfluss.,Nur optischer Fehler.,Temperatur steigt automatisch.,Messwert wird zu klein durch Verformung.,4,"Gleichmaessiger, leichter Anpressdruck vermeidet Messfehler.",2
q-06-06-2,m06-messfehler-vermeiden,Was verursacht Parallaxenfehler?,Magnetismus des Messschiebers.,Falsche Werkstoffwahl.,Fehlende Kuehlmittel.,Schraeges Ablesen der Skala aus falscher Augenhoehe.,Zu kaltes Werkstueck allein.,3,Senkrecht ueber der Skala ablesen vermeidet Parallaxenfehler.,2
q-06-07-1,m06-sichtpruefung,Was pruefst du bei einer Sichtpruefung?,Nur die Seriennummer des Messgeraets.,Elektrische Spannung.,Drehzahl der Maschine.,"Risse, Grate, Verschmutzung und Oberflaechenfehler.",Nur das Gewicht.,3,"Sichtpruefung ist einfaches, wichtiges Pruefverfahren.",2
q-06-07-2,m06-sichtpruefung,Wann reicht eine Sichtpruefung nicht aus?,Bei sauberer Oberflaeche nie.,Bei jedem Gewinde.,Wenn Mass- oder Formtoleranzen exakt nachgewiesen werden muessen.,Immer ausreichend.,Nur bei Kunststoffen.,2,Fuer genaue Masse sind messende Verfahren erforderlich.,2
q-06-08-1,m06-grenzlehren,Wofuer nutzt du einen Grenzdorn?,Drehmoment einstellen.,Oberflaeche lackieren.,Pruefung ob Bohrung mindestens Mindestmass hat.,Haerte messen.,Temperatur bestimmen.,2,Grenzdorne pruefen Passung nach Go/No-Go-Prinzip.,2
q-06-08-2,m06-grenzlehren,Was bedeutet Go bei einer Grenzlehre?,Nur Sichtpruefung noetig.,Das Werkstueck erfuellt die Mindestanforderung.,Das Teil muss Ausschuss werden.,Die Lehre ist defekt.,Messung ist unnoetig.,1,Go-Lehren duerfen passieren; No-Go-Lehren duerfen nicht passieren.,2
q-06-09-1,m06-bezugstemperatur,Warum spielt Bezugstemperatur 20 Grad C bei Praezisionsmessungen eine Rolle?,Norm gilt nur fuer Kunststoffe.,Werkstueck und Messgeraet dehnen sich temperaturabhaengig aus.,Temperatur hat keinen Einfluss.,Nur Farbe aendert sich.,Messwerte werden immer kleiner bei Waerme.,1,DIN-ISO-Normen definieren 20 C als Referenztemperatur.,2
q-06-09-2,m06-bezugstemperatur,Was tust du bei grosser Abweichung der Werkstuecktemperatur?,Temperatur ausgleichen lassen oder temperaturkompensieren.,Sofort messen ohne Bedenken.,Messgeraet erhitzen.,Toleranz willkuerlich erweitern.,Protokoll weglassen.,0,Thermische Einfluesse koennen Praezisionsmessungen verfaelschen.,2
q-06-10-1,m06-pruefungsaufgaben-messen,Welche Messaufgabe ist pruefungstypisch?,Nur Farbe benennen.,Gewinde schneiden.,Pneumatik planen.,Urlaub berechnen.,Messschieberwert ablesen und Toleranz bewerten.,4,"Pruefungen testen Lesen, Rechnen und Bewerten von Messwerten.",2
q-06-10-2,m06-pruefungsaufgaben-messen,"Ein Messschieber zeigt 25,07 mm, Toleranz 25 +0,05/-0. Ergebnis?",Unbestimmbar.,"i.O., Toleranz gilt nicht.",n.i.O. wegen zu klein.,"n.i.O., da ueber der oberen Toleranzgrenze.","i.O., weil nah dran.",3,"25,07 mm liegt ueber 25,05 mm und ist damit nicht i.O.",2
q-07-01-1,m07-manuelle-fertigung,Was gehoert zur manuellen Fertigung?,Ausschliesslich Lackieren.,Nur Transport.,Softwaretest ohne Werkstueck.,"Saegen, Feilen, Bohren und Entgraten von Hand.",Nur CNC-Programmierung.,3,Manuelle Techniken sind Basis in der Metallbearbeitung.,2
q-07-01-2,m07-manuelle-fertigung,Warum uebst du manuelle Fertigung als MAF?,Weil Zeichnungen entfallen.,Weil Messen dann ueberfluessig ist.,Grundlagen fuer Maschinenbedienung und Fehlererkennung.,Weil Maschinen verboten sind.,Nur fuer Pruefungsdeko.,2,Handwerkliche Grundlagen verbessern Verstaendnis maschineller Prozesse.,2
q-07-02-1,m07-saegen-und-feilen,Welches Werkzeug nutzt du zum Trennen eines Stahlprofils?,Messschieber allein.,Gummihammer fuer Schnitt.,Hand- oder Maschinensaege mit passendem Blatt.,Schraubendreher.,Pinsel.,2,Saegeblaetter muessen zum Werkstoff und Durchmesser passen.,2
q-07-02-2,m07-saegen-und-feilen,Was ist beim Feilen zu beachten?,Werkstueck lose halten.,"Sicherer Griff, Entgraten und gleichmaessiger Druck.",Ohne Schutzbrille arbeiten.,Feile quer zur Kraft.,Grate absichtlich stehen lassen.,1,Richtiges Feilen verbessert Oberflaeche und Massgenauigkeit.,2
q-07-03-1,m07-bohren-und-gewindeschneiden,Was brauchst du zum Gewindeschneiden innen?,Zange ohne Gewinde.,"Gewindebohrer, Schneidoel und passende Kernlochbohrung.",Nur Hammer.,Farbe.,Schleifpapier allein.,1,Kernlochdurchmesser und Schneidfluss sind entscheidend.,2
q-07-03-2,m07-bohren-und-gewindeschneiden,Was passiert bei zu kleinem Kernloch?,Gewindebohrer bricht oder Gewinde wird unvollstaendig.,Gewinde wird automatisch feiner.,Kein Einfluss.,Bohrer wird laenger.,Material wird weicher.,0,Kernloch muss gemaess Tabelle gewaehlt werden.,2
q-07-04-1,m07-entgraten,Warum entgratest du ein Werkstueck?,Grate koennen Verletzungen und Passungsprobleme verursachen.,Grate erhoehen Festigkeit.,Entgraten ist optional immer.,Nur fuer Optik ohne Funktion.,Grate verbessern Toleranz.,0,Entgraten sichert Handling und Funktion des Bauteils.,2
q-07-04-2,m07-entgraten,Welches Werkzeug eignet sich zum Entgraten?,Pinsel allein.,Kuehlmittel spritzen.,Messschieber.,Schraubstock ohne Werkzeug.,"Entgrater, Feile oder Schleifstein je nach Groesse.",4,Werkzeugwahl haengt von Gratgroesse und Werkstoff ab.,2
q-07-05-1,m07-werkstueckspannung,Warum muss ein Werkstueck sicher gespannt sein?,Spannung ist optional.,Nur fuer Optik.,Loose Spannung spart Zeit sicher.,Schraubstock nie nutzen.,Verhindert Wegschlagen und Massfehler bei Bearbeitung.,4,Sichere Spannung schuetzt Personen und Qualitaet.,2
q-07-05-2,m07-werkstueckspannung,Was schuetzt empfindliche Oberflaechen beim Spannen?,Spannung mit Hammer.,Kein Spannen noetig.,Nur Klebeband auf Maschine.,Schutzbacken oder Zwischenlagen aus Weichmaterial.,Maximaler Druck ohne Schutz.,3,Oberflaechenschutz verhindert Klemmmarken.,2
q-07-06-1,m07-spanende-fertigung-grundlagen,Was ist spanende Fertigung?,Nur Farbe aufgetragen.,Nur Biegen ohne Schnitt.,Ausschliesslich Fuegen.,Material wird durch Schneiden in Form gebracht.,Material wird geschmolzen.,3,"Drehen, Fraesen und Bohren sind spanende Verfahren.",2
q-07-06-2,m07-spanende-fertigung-grundlagen,Was entsteht bei spanender Bearbeitung zwingend?,Nur Gas.,Ausschliesslich Oel ohne Span.,Span und Waerme an der Schnittstelle.,Nur Farbe.,Keine Waerme.,2,Spanabfall und Waerme muessen kontrolliert werden.,2
q-07-07-1,m07-arbeitsergebnis-pruefen,Wie pruefst du ein manuell bearbeitetes Werkstueck?,Gar nicht pruefen.,Nur Hoergen.,"Masse, Form und Oberflaeche mit passendem Pruefmittel.",Nur wiegen.,Nur ansehen ohne Mass.,2,Ergebnispruefung sichert Einhaltung der Zeichnung.,2
q-07-07-2,m07-arbeitsergebnis-pruefen,Was tust du bei Abweichung vom Sollmass?,Zeichnung aendern ohne Freigabe.,"Ursache klaeren, nacharbeiten oder melden.",Teil ohne Meldung weitergeben.,Toleranz selbst erweitern.,Mass verbergen.,1,Abweichungen muessen fachlich bewertet und dokumentiert werden.,2
q-07-08-1,m07-werkzeugschaeden,Worauf deutet ein ausgebreakter Schneidkanten?,Nur Kuehlmittel wechseln reicht immer.,Werkzeug muss gewechselt oder nachgeschliffen werden.,Werkzeug ist schneller.,Kein Handlungsbedarf.,Maschine abschalten nie.,1,Schaedliche Werkzeuge verursachen Ausschuss und Gefahr.,2
q-07-08-2,m07-werkzeugschaeden,Was verursacht uebermaessiger Verschleiss am Saegeblatt?,Falsche Schnittgeschwindigkeit oder stumpfes Blatt.,Zu langsame Schutzbrille.,Richtige Kuehlung allein.,Saubere Spannung.,Neues Blatt ohne Nutzung.,0,Parameter und Wartung beeinflussen Werkzeugstandzeit.,2
q-07-09-1,m07-metallbearbeitung-hand,Welche Handhabung ist bei manueller Metallbearbeitung wichtig?,"Sichere Spannung, PSA und kontrollierte Kraft.",Ohne Schutz arbeiten.,Werkzeug lose halten.,Grate ignorieren.,Schnell ohne Plan.,0,Handbearbeitung birgt Schnitt- und Quetschgefahren.,2
q-07-09-2,m07-metallbearbeitung-hand,Warum nutzt man Schraubstock und Amboss?,Nur als Dekoration.,Zum Messen von Temperatur.,Als Ersatz fuer Zeichnung.,Zum Lagern von Essen.,Werkstueck sicher fixieren und formen.,4,Haltevorrichtungen sind Grundausstattung der manuellen Bearbeitung.,2
q-07-10-1,m07-pruefungsaufgaben-fertigung-i,Pruefungsaufgabe: Welcher Schritt folgt nach dem Bohren oft?,Verpackung vor dem Aufspannen.,Schmelzen des Werkstuecks.,Maschine ohne Pruefung ueberlasten.,"Senken, Gewinde schneiden oder Entgraten.",Lackieren vor dem Bohren.,3,Bearbeitungsfolge ist klassisches Pruefungsthema.,2
q-07-10-2,m07-pruefungsaufgaben-fertigung-i,Was ist bei einer Pruefungsaufgabe zur manuellen Fertigung zu beachten?,Toleranz egal.,Nur eine Antwort markieren ist falsch bei PAL - genau eine richtig.,Sichere Reihenfolge und passendes Werkzeug waehlen.,Immer groesstes Werkzeug.,Sicherheit ignorieren.,2,"Pruefungen kombinieren Fachwissen, Sicherheit und Verfahrenswahl.",2
q-08-01-1,m08-druckluft-grundlagen,Was ist Druckluft in der Pneumatik?,Vakuum als einziger Antrieb.,Schwerkraft allein.,Komprimierte Luft als Antriebsmedium.,Fluessiges Oel im Kreislauf.,Elektrischer Gleichstrom.,2,Pneumatik nutzt Druckluft fuer Bewegung und Steuerung.,2
q-08-01-2,m08-druckluft-grundlagen,Welche Einheit hat der Druck in der Pneumatik oft?,U/min.,bar oder Megapascal (MPa).,Liter pro Minute allein.,Grad Celsius als Druckeinheit.,Newtonmeter als Druck.,1,"Betriebsdruck wird in bar angegeben, z. B. 6 bar.",2
q-08-02-1,m08-zylinder-und-ventile,Was bewirkt ein pneumatischer Zylinder?,Er ersetzt elektrische Sicherung.,Er wandelt Druckluft in geradlinige Bewegung um.,Er erzeugt nur Drehbewegung.,Er kuehlt Werkstuecke.,Er misst Masse.,1,Zylinder sind typische Aktoren in Pneumatikanlagen.,2
q-08-02-2,m08-zylinder-und-ventile,Welche Funktion hat ein 5/2-Wege-Ventil?,Steuert den Luftstrom fuer Zylinder ein- und ausfahren.,Misst Temperatur.,Filtert Oel aus Wasser.,Erzeugt Vakuum allein.,Schneidet Metall.,0,Wegeventile schalten Anschluesse und Bewegungsrichtung.,2
q-08-03-1,m08-wartungseinheit,Was macht eine Wartungseinheit (FRL)?,"Filtert, reguliert Druck und schmiert bei Bedarf.",Erzeugt Druckluft aus Wasser.,Misst Toleranzen.,Schweisst Bleche.,Ersetzt Not-Halt.,0,FRL schuetzt pneumatische Komponenten und stabilisiert Druck.,2
q-08-03-2,m08-wartungseinheit,Warum entwaessert man den Druckluftbehaelter?,Weil Wasser Druck erhoeht.,Weil Entwaesserung optional ist.,Weil Oel verboten ist.,Weil Maschine dann schneller fraest.,Kondenswasser schadet Ventile und Zylinder.,4,Feuchtigkeit verursacht Korrosion und Funktionsstoerungen.,2
q-08-04-1,m08-pneumatikschaltplan,Was zeigt ein pneumatischer Schaltplan?,Nur elektrische Klemmplanung.,Nur Gehaltslisten.,Nur CNC-Programm.,Nur Kantinenplan.,"Komponenten, Anschluesse und Luftwege.",4,Schaltplaene ermoeglichen Aufbau und Fehlersuche.,2
